trial_number,trial_onset,reaction_time,accuracy,condition,subject_id
59,114.8027395335215,203.01913007449932,1,hard,subject_002
60,116.18365920580486,388.12698335360005,1,hard,subject_002
61,116.9660558130712,242.96914785809668,1,easy,subject_002
62,117.03910982985313,282.3247940075096,1,medium,subject_002
63,117.25114875921734,242.2008642939353,1,easy,subject_002
64,118.506813543139,363.5163609211529,1,hard,subject_002
65,118.715554257082,842.1834814249453,1,hard,subject_002
66,122.04653638805353,339.91801181779596,1,hard,subject_002
67,122.32382573446458,308.3309041322255,1,medium,subject_002
68,124.85841669232681,293.2164450594392,1,easy,subject_002
69,125.78824670028892,251.93653933064937,1,medium,subject_002
70,127.38459612354862,255.9236390486962,1,medium,subject_002
71,128.2201506141197,288.6700759076914,1,easy,subject_002
72,129.58586469857408,294.4813549868205,1,medium,subject_002
73,129.7169195092017,375.33262917015213,1,medium,subject_002
74,129.94041981256188,528.7425926930327,1,hard,subject_002
75,130.8527587474447,284.2576112912514,1,easy,subject_002
76,132.05134441584792,315.3464716351861,1,medium,subject_002
77,132.25067168552687,291.54009901901594,1,easy,subject_002
78,132.8853411759867,353.17527491457855,1,medium,subject_002
79,134.7354808582833,327.5049606148173,1,hard,subject_002
80,138.0955967006628,382.63719149555294,1,easy,subject_002
81,139.36823155115258,700.0703913594839,1,medium,subject_002
82,145.89222746419335,348.8033612929556,0,easy,subject_002
83,146.11443620130078,169.93626586374845,1,medium,subject_002
84,149.1663987993921,241.83359243017085,0,medium,subject_002
85,152.9794483185661,313.3244364743224,0,medium,subject_002
86,154.8513677897732,218.40696601088237,1,hard,subject_002
87,155.65600097480524,269.3538510424298,1,easy,subject_002
88,157.17940062810413,260.6334543866439,1,easy,subject_002
89,159.00210689281107,342.78037604553487,1,easy,subject_002
90,159.2622644728281,624.3270642615728,1,easy,subject_002
91,159.46195793238292,268.14303650873694,1,easy,subject_002
92,160.47116454486118,383.66126443727313,1,medium,subject_002
93,162.04493817737804,332.2979744124566,1,medium,subject_002
94,162.6893002324002,206.21986885922325,1,hard,subject_002
95,169.50363465527136,289.1176080845679,1,medium,subject_002
96,170.638756023487,338.3356521641154,1,hard,subject_002
97,176.3297452019585,301.2689035205286,1,hard,subject_002
98,179.4997568690706,312.93695199456084,1,easy,subject_002
99,184.55004356004898,234.62366092209973,1,hard,subject_002
100,186.47140465777628,310.6246948403306,1,hard,subject_002
